solo_KillDeathRatio,solo_WinRatio,solo_Rating,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg
2.87,3.45,2141.35,315.7,1.08,2.77,1925.83,642.78
2.26,6.06,2032.24,270.94,1.45,2.12,6001.42,1364.37
2.12,9.09,2137.06,225.13,1.0,1.93,2502.8,872.72
3.61,10.0,1602.24,341.46,1.2,3.25,2214.28,1092.3
3.42,13.64,1963.07,330.03,1.14,2.95,3419.87,1265.73
2.33,8.47,2417.38,254.5,2.44,2.14,3416.33,1129.69
2.54,9.43,2341.32,272.26,2.66,2.3,4700.58,1273.03
3.61,25.42,2472.3,325.29,0.8,2.69,5447.74,1396.79
1.68,1.75,2213.09,197.0,2.72,1.65,3820.94,1174.43
2.35,12.27,2813.79,246.89,1.33,2.06,5996.03,1431.13
5.33,28.14,2838.04,396.46,1.22,3.83,7393.54,1332.55
0.88,1.27,1466.34,108.81,0.58,0.87,1482.19,677.77
2.31,3.09,2335.44,264.7,1.31,2.24,2444.35,846.89
2.23,7.14,1496.84,230.86,0.57,2.07,2959.29,1070.39
4.49,20.72,2848.59,411.48,1.86,3.56,5836.04,1379.52
2.83,11.81,2862.97,297.38,2.01,2.49,5847.18,1275.52
4.17,0.0,1300.86,434.0,1.17,4.17,6336.75,1066.91
1.92,8.64,2397.26,229.23,1.32,1.75,3118.23,870.97
2.73,9.6,2811.48,287.57,1.69,2.47,3822.69,1083.04
2.15,5.83,2826.98,235.57,1.21,2.03,3557.67,1202.59
7.81,23.93,2886.3,645.22,1.43,5.94,3895.81,1134.86
2.08,8.43,2814.06,215.23,1.56,1.9,4899.56,1321.45
1.7,7.63,2717.37,205.19,1.6,1.57,6394.42,1307.15
2.5,9.09,1766.97,264.41,0.85,2.27,4621.3,1188.91
2.77,6.06,1788.68,293.08,1.21,2.61,2328.98,803.58
5.5,33.33,1441.67,380.3,0.33,3.67,6806.44,1962.72
3.32,24.11,2800.55,298.95,1.98,2.52,8547.27,1624.03
2.11,10.45,2750.95,223.66,1.98,1.89,4050.86,1106.22
2.51,12.5,2302.5,269.7,1.15,2.2,4912.74,1207.24
3.54,14.29,2168.98,372.86,0.89,3.04,5986.92,1418.35
3.08,0.0,1259.44,360.45,0.33,3.08,2518.27,656.71
1.18,3.25,2090.26,131.77,1.14,1.14,1706.38,691.4
2.69,8.16,2227.41,259.97,2.45,2.47,2675.35,938.63
1.41,10.15,2776.43,150.38,1.75,1.27,5798.69,1486.5
0.6,0.0,1269.61,62.28,0.0,0.6,3918.72,959.64
4.7,28.57,2406.83,364.15,1.18,3.36,5728.8,1402.51
3.17,0.0,1337.92,356.05,2.0,3.17,3933.56,1087.47
1.48,8.28,2804.54,163.82,1.65,1.36,7066.74,1334.72
3.06,9.62,2288.72,320.97,1.94,2.77,3074.76,1109.1
3.12,11.11,1992.68,293.43,0.83,2.78,4657.62,1422.78
4.03,11.9,2001.46,383.79,1.36,3.55,2485.98,1000.93
3.39,23.27,2393.1,291.72,2.04,2.6,5397.12,1425.81
2.91,11.26,2671.37,296.31,1.77,2.58,4792.73,1228.69
2.7,7.5,1962.7,271.86,1.32,2.5,2089.19,881.54
2.21,5.0,1853.98,244.4,1.25,2.1,3205.72,886.66
3.52,16.0,2224.78,348.32,2.0,2.96,4083.11,1248.6
4.14,12.92,2704.44,409.73,2.17,3.61,4468.09,1255.88
1.88,4.79,2380.19,224.7,1.71,1.79,2630.94,902.27
2.81,12.24,2539.82,289.09,1.8,2.47,6908.25,1447.94
3.48,6.15,2064.1,344.31,1.31,3.26,2286.94,745.13
8.32,29.03,2175.75,645.57,1.81,5.9,5082.3,1459.03
2.33,6.25,2297.18,260.18,1.23,2.19,4786.07,1295.84
6.5,33.33,1354.32,417.66,1.33,4.33,5302.57,1284.08
2.28,2.5,2091.37,235.12,3.22,2.22,3572.4,1124.81
2.78,11.11,1894.04,271.46,0.78,2.47,1495.23,688.48
10.0,50.0,1345.02,507.52,0.0,5.0,3761.96,1654.73
2.79,18.18,2597.81,270.74,1.96,2.29,6066.18,1206.25
3.55,9.21,2370.32,374.65,1.16,3.22,4305.88,981.66
4.49,18.35,2766.9,419.64,1.72,3.67,5826.98,1211.69
1.8,5.91,2743.95,197.18,1.66,1.7,4240.11,1174.87
2.29,6.19,2353.66,246.97,2.62,2.14,1733.19,815.18
1.29,2.14,2822.57,165.77,1.32,1.27,5109.18,1297.03
2.77,10.34,2137.63,281.0,1.28,2.48,4338.48,1315.24
2.79,10.53,2547.24,296.08,1.41,2.5,3930.37,1287.87
2.41,17.07,2342.69,220.61,2.85,2.0,5018.74,1418.03
2.93,11.76,2295.92,311.41,1.81,2.59,4416.0,1290.85
2.35,7.73,2662.78,248.6,1.96,2.16,5248.06,1280.0
1.52,4.76,2105.63,183.33,1.33,1.44,3382.47,1091.81
3.56,10.0,1511.28,326.05,1.0,3.2,3322.82,1166.25
1.85,7.04,2284.55,203.16,1.63,1.72,2891.54,961.53
1.95,2.33,2263.8,228.24,1.81,1.91,2286.27,917.26
3.5,6.9,2240.96,381.89,1.33,3.26,7238.22,1224.58
1.38,7.69,2201.43,178.64,1.83,1.27,4975.84,1311.72
5.95,25.93,2295.22,488.25,1.74,4.41,3053.09,1237.93
3.77,10.34,1762.17,382.34,1.48,3.38,3786.16,1301.1
2.18,2.12,2536.53,248.22,1.98,2.13,2914.38,907.02
1.93,9.25,2575.89,208.13,1.21,1.75,7005.68,1473.04
2.71,4.55,1731.15,286.21,1.68,2.59,5100.31,1259.02
2.23,3.33,2473.44,253.23,1.76,2.16,1992.36,961.06
2.33,8.77,2340.6,246.79,1.3,2.12,4865.6,1222.97
