duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
1.17,13.33,24,2375.72,132.26,2.34,1.02,7822.9,0.16,1454.42,7,3105
2.18,10.0,5,2199.84,262.51,1.78,1.96,4513.95,0.26,1239.25,7,1821
3.35,16.67,4,1929.26,317.97,2.92,2.79,5005.08,0.17,1292.56,15,2625
1.09,3.03,1,1504.55,164.76,1.48,1.06,3690.08,0.18,1011.3,4,1253
3.31,7.41,6,2324.34,391.06,1.57,3.06,4558.85,0.22,1147.76,12,6513
2.75,0.0,0,1263.34,400.07,0.0,2.75,4539.85,0.0,1039.13,7,1032
3.18,8.33,6,2259.3,366.79,2.57,2.92,3158.08,0.31,1117.7,11,1854
4.5,17.24,5,2024.07,423.31,1.79,3.72,3185.09,0.1,1201.36,17,1655
3.62,17.5,21,2585.88,367.24,2.3,2.98,4161.23,0.28,1218.42,15,2145
10.0,44.44,4,1693.14,549.37,2.0,5.56,6766.94,0.67,1575.21,12,2532
1.53,6.9,8,2305.8,177.91,1.63,1.42,5167.25,0.13,1200.71,10,1917
6.8,44.44,4,1772.36,391.3,4.56,3.78,6880.23,0.11,1533.7,9,1478
2.48,6.67,7,2097.9,270.62,2.56,2.31,3057.86,0.27,866.14,13,5417
4.61,10.87,5,2179.24,469.7,1.52,4.11,4256.76,0.11,1064.89,12,1774
4.48,12.99,10,2314.01,485.81,2.08,3.9,4414.59,0.12,1009.17,15,3083
2.22,9.47,9,2356.16,263.63,1.88,2.01,5034.03,0.14,1150.41,10,1957
4.33,21.74,5,2078.64,405.04,2.35,3.39,3632.53,0.26,1106.86,11,1711
1.26,2.11,3,2169.22,173.3,1.61,1.23,2529.44,0.1,839.93,8,1807
2.44,10.0,3,1903.53,288.08,2.27,2.2,4984.02,0.4,1262.16,6,1574
0.0,0.0,0,1273.18,4.12,3.71,0.0,1865.32,0.14,679.94,0,1068
2.43,6.0,6,1889.58,306.0,2.21,2.28,3352.99,0.2,1111.76,11,3061
3.8,28.57,2,1529.23,354.33,2.29,2.71,7008.63,0.14,1524.35,7,1276
3.31,27.27,6,2076.74,284.89,1.41,2.41,6825.75,0.14,1434.2,8,1742
2.25,0.0,0,1274.64,231.66,2.25,2.25,2790.22,0.25,989.08,5,1048
3.48,12.73,14,1964.13,356.16,1.63,3.04,3038.35,0.24,891.95,11,3750
1.81,4.67,7,2257.17,206.89,1.74,1.73,3004.7,0.2,977.34,9,1858
2.42,18.02,20,2548.85,238.08,3.63,1.98,6856.24,0.26,1380.55,11,2134
3.19,12.24,6,2039.08,333.58,2.35,2.8,4789.52,0.27,1269.38,9,1668
2.26,7.46,5,1845.78,243.14,1.37,2.09,2812.27,0.22,905.63,9,3752
3.84,24.49,12,2391.62,383.47,2.24,2.9,7391.47,0.29,1423.2,8,1991
2.45,11.43,4,1750.94,293.9,1.91,2.17,3336.03,0.29,1097.11,10,3950
2.66,19.44,7,2212.29,255.46,2.47,2.14,4066.53,0.25,1048.04,8,1846
2.59,19.61,10,2250.02,251.29,1.65,2.08,6542.59,0.16,1362.56,7,2900
2.31,6.74,13,2451.28,280.52,1.92,2.15,3750.77,0.21,1142.32,10,3369
4.4,15.07,41,2375.15,447.04,2.19,3.74,2783.93,0.26,1042.5,18,2984
0.78,0.47,1,1934.0,125.03,0.89,0.77,1993.59,0.12,829.12,6,2592
2.94,9.68,9,2301.98,319.78,2.72,2.66,2778.47,0.28,1096.75,14,1897
2.14,10.06,17,2425.94,247.11,2.79,1.92,5345.27,0.24,1094.97,14,3329
2.04,6.0,3,2143.64,251.42,1.7,1.92,3065.49,0.08,901.98,9,1764
2.01,15.12,13,2399.26,240.74,2.9,1.71,6284.58,0.19,1320.39,8,3018
2.43,9.85,27,2259.44,297.59,2.77,2.19,3592.36,0.24,1054.16,12,1856
1.67,9.79,14,2299.52,206.75,2.03,1.5,5716.73,0.15,1341.68,8,3243
2.11,10.29,18,2486.3,246.45,2.12,1.9,5444.51,0.12,1244.96,10,3058
3.08,11.11,3,2126.94,347.19,2.44,2.74,4974.89,0.19,1345.04,9,1749
2.5,15.48,39,2330.73,264.79,3.25,2.11,7098.94,0.29,1269.08,12,4780
1.56,3.57,1,1796.32,174.9,1.43,1.5,4642.41,0.11,1058.02,10,1492
2.77,8.51,4,2300.52,314.54,2.43,2.53,3644.5,0.19,1162.96,14,1899
6.86,22.22,2,1685.4,767.09,4.67,5.33,3476.34,0.44,1611.4,11,1378
5.93,12.12,8,1998.85,621.38,3.11,5.21,2724.61,0.32,933.94,21,2959
2.03,12.02,31,2605.02,249.36,2.46,1.79,5733.62,0.19,1379.09,9,4413
3.15,9.09,2,1845.44,375.11,2.64,2.86,3704.14,0.23,1119.47,18,2491
1.61,2.29,3,2054.25,196.88,1.37,1.57,2635.59,0.19,823.58,8,2776
2.61,16.36,9,2273.07,283.3,2.09,2.18,3321.15,0.18,1127.36,9,1886
2.86,16.67,7,2210.29,259.03,2.4,2.38,3013.67,0.21,1110.9,15,3924
2.14,13.24,18,2223.79,235.92,2.88,1.86,6059.11,0.15,1351.89,9,1858
3.83,25.98,53,2544.9,346.65,2.17,2.84,5927.92,0.31,1438.7,11,6250
1.78,13.04,9,2187.05,192.68,3.62,1.55,4870.56,0.23,1300.75,6,3902
2.5,10.43,12,2236.55,285.49,1.79,2.24,5442.83,0.3,1404.37,10,1850
5.65,37.1,46,2406.61,432.26,2.06,3.56,5818.69,0.15,1367.18,18,4953
1.39,5.73,9,1810.34,166.71,1.07,1.31,2825.93,0.11,919.15,15,1494
1.94,1.15,1,2136.13,256.96,1.71,1.92,2827.62,0.09,840.34,10,1746
2.0,12.5,13,2525.6,228.22,1.95,1.75,4737.98,0.24,1310.07,9,2114
9.4,41.18,7,2277.98,642.42,4.18,5.53,6723.44,0.29,1654.31,14,1888
