,tracker_id,solo_WinRatio,solo_Wins,solo_KillDeathRatio,solo_Rating,solo_KillsPg,solo_DamagePg,solo_HealsPg
75008,92734,0.0,3,2.45,1775.82,2.22,230.24,1.59
75009,57405,0.0,0,1.33,1402.26,1.33,158.3,4.17
75010,138334,0.0,0,1.41,1354.32,1.41,178.37,0.78
75011,125405,0.0,0,0.9,1299.32,0.9,137.28,1.5
75012,156417,0.0,1,1.25,2122.32,1.24,147.47,1.01
75013,169541,0.0,1,1.17,1814.32,1.16,135.99,0.9
75014,108062,0.0,2,1.91,1736.97,1.75,203.65,1.46
75015,114467,0.0,0,1.63,1548.82,1.63,204.77,1.8
75016,38563,0.0,7,0.99,2310.63,0.97,135.37,1.9
75017,82234,1.0,1,9.0,1347.28,9.0,945.0,3.0
75018,49946,0.0,23,2.47,2117.82,2.3,272.49,1.78
75019,193563,0.0,1,1.11,1775.72,1.07,116.48,0.86
75020,196630,0.0,0,3.5,1243.45,3.5,420.52,0.0
75021,36538,0.0,0,2.31,1531.06,2.31,236.54,0.88
75022,26511,0.0,2,1.27,2192.61,1.24,159.32,1.39
75023,125073,0.0,0,1.68,1585.19,1.68,202.19,2.25
75024,35891,0.0,0,0.18,1283.79,0.18,26.64,0.36
75025,117244,0.0,1,2.47,1562.93,2.35,263.3,4.1
75026,134161,0.0,2,1.54,2046.92,1.49,166.44,1.05
75027,213781,0.0,3,2.82,2025.19,2.62,312.26,1.05
75028,171722,0.0,1,1.3,1792.48,1.26,147.07,2.39
75029,64660,0.0,0,0.67,1212.38,0.67,74.74,0.78
75030,114968,0.0,0,0.9,1481.55,0.9,99.26,1.8
75031,80880,0.0,1,1.79,1520.02,1.67,190.84,0.93
75032,164471,0.0,2,1.3,1799.08,1.27,153.25,1.02
75033,64732,0.0,0,0.87,1516.26,0.87,116.73,2.62
75034,151921,0.0,0,2.0,1234.35,2.0,165.22,0.67
75035,158305,0.0,1,1.03,1586.58,1.02,129.09,0.98
75036,63003,0.0,1,1.76,2262.14,1.73,194.63,1.71
75037,161365,0.0,0,0.62,2048.37,0.62,78.76,1.05
