solo_Wins,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_WinRatio
0,151.74,0.0,1.0,0.0
6,288.39,1.23,2.41,7.59
11,148.48,1.88,1.2,5.45
29,408.39,2.47,3.6,27.1
3,281.22,1.79,2.38,3.37
1,488.26,3.0,4.0,50.0
1,569.66,3.0,4.5,50.0
2,139.85,1.32,1.19,1.1
3,227.83,2.2,2.0,3.06
7,179.14,1.28,1.57,7.14
7,322.82,1.88,2.82,5.07
2,352.91,0.5,4.0,50.0
17,369.56,2.01,3.36,11.64
23,187.27,1.19,1.53,9.5
9,276.98,2.58,2.54,9.38
5,355.44,1.77,3.16,5.26
9,423.87,3.53,4.11,47.37
1,442.75,0.86,4.0,14.29
1,631.47,3.0,6.2,20.0
5,197.09,1.08,1.61,2.84
14,204.5,1.85,1.69,8.7
1,257.68,0.8,2.3,5.0
1,298.23,1.05,2.9,4.76
18,430.55,1.59,3.83,12.41
2,217.18,1.02,1.91,4.44
16,308.28,1.23,2.52,10.96
6,189.47,1.18,1.45,7.69
5,237.14,1.17,2.12,6.1
6,356.18,1.89,3.14,17.14
2,220.82,4.0,2.0,40.0
15,230.19,1.44,1.94,9.32
2,270.84,1.53,2.34,2.86
2,207.51,1.0,1.9,3.33
1,209.06,2.26,1.69,1.3
1,142.73,1.37,1.08,0.81
3,262.28,1.35,2.2,6.12
1,324.5,1.5,3.5,50.0
6,398.81,1.86,3.64,7.14
14,125.3,1.59,0.97,1.54
1,226.1,1.77,1.81,3.23
3,223.08,1.19,2.0,18.75
16,217.04,1.9,1.76,7.02
0,77.14,0.0,0.8,0.0
4,146.95,1.36,1.25,3.74
7,365.15,1.45,3.3,5.04
1,165.17,1.59,1.25,0.64
9,153.14,2.61,1.25,5.92
4,282.48,2.18,2.14,7.02
15,172.47,1.33,1.3,3.41
6,262.13,2.65,2.28,10.53
99,287.22,1.82,2.42,11.79
4,176.31,1.02,1.44,4.26
2,272.55,1.32,2.36,9.09
4,433.42,1.0,4.33,22.22
10,155.29,2.45,1.22,2.26
11,236.29,1.31,2.08,8.4
9,221.27,1.07,1.87,5.36
0,277.48,1.42,2.5,0.0
2,351.7,3.24,3.24,11.76
2,651.83,1.67,7.0,33.33
1,408.8,3.0,4.33,33.33
13,231.97,1.58,2.02,9.56
7,177.81,1.51,1.5,2.85
5,215.44,0.86,1.88,6.49
0,41.98,0.0,0.33,0.0
1,145.34,0.75,1.22,1.56
39,318.77,1.76,2.84,15.66
11,308.34,3.17,2.81,14.29
3,368.07,1.38,3.62,23.08
25,358.0,4.33,3.0,17.73
6,506.9,1.44,5.17,33.33
34,423.91,1.79,3.59,14.91
17,194.52,2.04,1.62,6.69
14,228.77,2.17,1.99,6.8
0,225.81,1.17,1.71,0.0
6,205.63,1.44,1.7,6.19
2,282.47,0.39,2.33,11.11
4,261.0,3.1,2.33,9.52
0,16.78,0.0,0.14,0.0
3,324.55,1.49,2.81,5.66
6,685.72,1.36,6.09,54.55
7,501.32,1.35,4.55,35.0
1,313.92,0.5,3.0,25.0
19,418.75,1.56,3.69,19.39
4,139.85,1.04,1.12,8.0
6,181.33,1.11,1.43,4.26
5,759.94,0.25,7.31,31.25
20,307.18,1.54,2.72,7.38
18,353.89,2.48,3.08,24.0
0,50.0,0.0,0.67,0.0
16,506.27,1.0,4.33,24.24
3,353.79,1.24,3.15,8.82
9,259.36,1.36,2.24,7.09
24,231.33,2.85,1.86,7.64
2,161.13,0.88,1.35,2.56
6,500.17,1.72,4.92,24.0
5,105.24,0.25,0.97,1.78
1,406.77,0.25,4.0,25.0
3,224.1,1.26,1.97,9.68
7,149.48,6.14,1.26,3.91
3,853.17,1.94,8.35,17.65
1,213.62,1.35,1.77,3.85
1,142.41,1.23,1.19,2.08
0,140.02,0.62,1.0,0.0
11,145.77,2.13,1.17,1.18
6,329.0,1.75,3.0,8.96
2,341.52,1.17,2.83,33.33
22,323.0,1.72,2.89,19.3
16,295.43,0.92,2.82,22.54
8,187.41,1.01,1.65,5.48
43,454.82,1.79,3.9,12.99
0,429.14,0.0,5.0,0.0
2,110.07,1.08,0.88,0.63
29,187.22,6.41,1.6,7.34
3,192.71,2.79,1.66,10.34
0,360.01,2.0,3.0,0.0
4,206.88,2.52,1.73,12.12
2,116.03,1.3,0.93,1.46
4,200.28,1.05,1.66,3.03
41,424.81,1.57,3.82,16.47
106,334.88,2.96,2.84,15.92
3,216.05,2.35,1.94,6.12
17,380.48,1.99,3.42,15.89
7,224.7,2.25,2.02,8.24
0,266.55,1.5,2.5,0.0
15,388.79,1.8,3.39,32.61
7,157.12,2.83,1.28,2.57
2,324.74,2.07,3.21,14.29
2,280.44,2.32,2.68,10.53
23,225.92,2.42,1.9,4.91
0,224.11,2.06,1.81,0.0
1,1131.58,1.5,11.0,50.0
3,121.28,1.38,0.98,1.33
5,783.26,3.45,7.0,45.45
4,387.12,1.08,3.92,33.33
5,229.39,0.93,2.03,8.47
3,490.39,2.36,4.71,10.71
4,289.31,2.72,2.67,8.7
8,159.21,1.48,1.35,3.9
1,219.33,1.23,1.79,0.86
1,841.32,6.0,10.0,100.0
2,164.35,2.58,1.31,0.97
0,255.31,1.0,2.0,0.0
1,295.43,1.78,2.57,4.35
3,221.98,1.23,1.79,4.29
1,209.59,1.12,1.88,2.44
7,185.87,1.66,1.38,5.47
1,793.95,1.0,8.5,50.0
57,237.61,3.39,2.08,16.52
3,241.78,1.38,2.01,4.17
3,526.12,1.17,5.5,50.0
21,225.89,1.53,1.92,10.77
1,126.97,1.5,1.17,16.67
8,211.81,1.31,1.67,4.62
12,113.45,0.94,0.88,3.11
2,385.6,1.9,3.8,20.0
6,649.65,2.35,5.83,26.09
16,325.29,1.86,2.78,7.66
2,234.75,1.11,1.92,2.38
5,151.35,1.41,1.12,3.7
4,197.08,1.1,1.88,10.0
7,252.5,1.32,2.16,15.91
9,189.09,1.57,1.56,3.78
5,435.18,1.1,4.25,7.46
49,416.94,1.94,3.66,12.31
3,250.51,1.45,2.3,9.09
5,166.23,1.32,1.34,8.93
4,655.46,1.87,6.27,26.67
3,228.09,1.1,1.89,4.84
2,215.25,1.83,1.97,6.9
8,376.33,2.88,3.17,13.56
4,374.39,1.06,3.39,22.22
9,382.26,1.62,3.68,7.69
2,180.3,2.46,1.58,1.77
1,115.78,1.06,0.92,1.61
12,111.95,3.89,0.91,2.32
4,406.35,2.29,3.86,28.57
19,285.5,1.84,2.32,6.96
1,398.64,0.56,3.67,11.11
7,279.77,1.73,2.38,6.36
0,185.59,0.78,1.57,0.0
5,246.84,1.0,2.44,27.78
5,195.73,1.81,1.66,3.88
0,346.83,0.0,3.0,0.0
19,243.3,7.88,1.98,17.43
10,465.68,1.85,4.2,21.74
4,163.34,1.23,1.27,2.48
4,300.5,1.22,2.87,17.39
37,408.46,3.12,3.45,22.7
5,151.51,1.46,1.27,5.56
4,140.04,1.75,1.27,7.84
3,509.06,2.2,4.6,30.0
0,222.39,1.0,2.0,0.0
1,154.9,1.24,1.31,0.44
22,195.61,1.19,1.74,9.48
0,280.24,2.5,2.83,0.0
4,81.51,1.52,0.62,1.01
3,263.78,1.52,2.28,3.23
11,231.79,1.45,2.06,4.85
11,308.17,2.34,2.77,10.09
6,313.18,1.4,2.6,7.5
1,204.44,0.61,1.78,2.04
2,404.2,2.2,3.8,40.0
1,260.88,1.71,2.59,5.88
13,304.04,1.26,2.56,13.54
1,185.45,1.13,1.52,1.22
5,336.03,1.73,3.14,22.73
0,161.75,1.28,1.35,0.0
42,365.3,2.01,3.16,17.07
1,285.68,2.75,3.0,25.0
48,523.26,1.49,4.8,36.64
3,150.01,1.58,1.2,1.96
10,229.48,1.88,1.93,7.87
10,265.76,1.77,2.35,8.13
1,246.81,1.86,2.25,3.57
1,770.24,4.0,8.5,50.0
1,359.83,0.6,3.8,20.0
2,283.47,1.61,2.55,6.06
1,220.07,1.36,1.98,2.22
32,352.22,1.56,3.07,9.7
7,398.63,2.12,3.47,41.18
3,369.5,1.0,3.33,33.33
1,255.52,1.05,2.34,2.27
2,303.66,1.7,2.78,7.41
0,0.0,0.0,0.0,0.0
0,216.14,0.85,1.92,0.0
8,149.93,1.65,1.15,2.91
1,254.99,1.73,2.53,6.67
